"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0805";2;"22p";;;
2;"C3,C6,C8,C10";"C_0805";4;"1u";;;
3;"C4,C5";"C_0805";2;"2.2u";;;
4;"C7,C9,C11,C13,C14,C15,C16";"C_0805";7;"100n";;;
5;"C12";"C_0805";1;"4u7";;;
6;"R1";"R_0805";1;"10K";;;
7;"R2";"R_0805";1;"47";;;
8;"U1";"LQFP-100_14x14mm_Pitch0.5mm";1;"STM32F765VIT6";;;
9;"L1";"R_0805";1;"Ferrite_Bead_Small";;;
10;"C17";"CP_Tantalum_Case-C_EIA-6032-28_Reflow";1;"10u";;;
11;"C18";"CP_Tantalum_Case-C_EIA-6032-28_Reflow";1;"22u";;;
12;"D1,D2,D3";"LED_0805";3;"LED_Small";;;
13;"D4";"D_0805";1;"D_Schottky_ALT";;;
14;"R3,R4,R7";"R_0805";3;"220";;;
15;"R5,R6";"R_0805";2;"1K";;;
16;"U2";"SOT-223-3_TabPin2";1;"AP1117-33";;;
17;"J1,J2,J3,J4";"Pin_Header_Straight_2x12_Pitch2.54mm";4;"Conn_02x12_Odd_Even";;;
18;"SW1";"SW_SPST_FSMSM";1;"SW_Push";;;
19;"Y1";"Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm";1;"Crystal_GND24";;;
20;"J5";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Conn_02x05_Odd_Even";;;
